PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19
0.11242649430762401,-0.4906053201656068,0.32262303491436867,0.27709869614602606,-2.3818486114089965,0.360971877882923,-1.1896952952243651,-0.03245887056965489,-0.17201068673716158,0.6129031178002863,-0.6750470371802064,-0.5899942509822589,-0.24703386493763427,0.2881414475823231,0.3573730419817695,0.34606140179373973,-0.003773078727027289,0.2520127299864027,0.6087311851579416
-0.9713720690629319,-0.16637124733058475,-0.048344939709553995,-0.5551512656390398,0.5209168502600465,0.44928603916224963,-0.10476822524511922,-0.15781593503288904,-0.16006477956711407,-0.4284334982459742,0.7774614147794315,0.08722969124680223,-0.3038573826072076,-0.9729607499006194,-1.356938076383543,0.7078966879659654,0.05952785191763771,-0.04150981507425626,-0.40013576952629404
-0.24309748968863082,-0.5361777723040597,0.6678296168616907,0.07204987641359606,-0.5713199965184772,-0.7240966697980746,-0.2987788598426577,0.6253222774779481,0.7081998909917068,-0.39492668373927425,0.016566593818845947,1.341500022132461,-0.3283935200144322,0.07853508457803736,-0.3273834541181156,0.7162696279179048,-0.03862766449692846,0.0075905883773735635,-0.021818029916748114
-0.051767470958917185,0.31406310585231834,-0.10609711702853011,-0.8468984139942196,0.6206007337295819,-0.07154075039538378,0.7449556011173382,-0.3352023442865409,-1.0230988339286262,0.5016100814151603,-0.3709335040780131,0.46165578050753475,-0.15189824419694814,-0.834625047389054,-0.5243469796906535,0.0951106938211146,0.035392368493037965,-0.023353317343881186,0.7002494707022167
-0.1257848847634227,0.36617278941270504,0.06759724088788617,-1.353410245098918,0.2353353030678815,-1.094633273127281,0.9775776726014425,-0.0858184450664878,-0.5576660787802831,0.6564276860381613,-1.09569306028778,0.744492419230718,0.2233242353434725,-0.5245113625075443,0.21511403065245216,-0.03699525247083294,-0.06151940358776012,0.23685779708880667,0.1860378482215409
-1.1814495535135217,1.3012499979436587,-2.8049349549718037,2.1160437648054224,1.5069699345492984,0.857304072652534,0.2754433000941222,0.014575799151783544,-0.17455969455762785,-0.2719391114380877,0.5175219760143781,0.22770675262421733,-0.502716487766413,0.38599556896792153,0.10612977348547144,-0.14662611385714844,0.2104654795854604,-0.08110367388224989,0.8620864886066875
-0.4765596689685615,0.4094989002012179,0.6369189162272785,-1.7415726689284374,0.4501664064134607,-1.3682800978304066,0.6692192385845593,0.1064490125124756,-0.542953881571298,0.6439912691391095,-1.1682554940958325,0.7437178042831417,-0.004140893119967428,-0.31324144609377896,0.2414723538304691,0.21818302668223627,0.011758844834523186,0.11764565177701901,0.6565203347880044
-0.41848032178762995,-0.8405316677513063,1.1772395082564242,0.6403923927566363,-0.6316431104216212,-0.254478780077798,0.07463879084740811,-0.17003901932120272,-0.9698206089743755,-0.3399389016037191,0.060237883887778315,-0.07705552151477844,-0.43940967839925027,0.9668090084119927,-0.9378192963364744,0.3184562124756354,-0.33632183642026403,0.16922719846814588,0.011480296018228194
-0.6295594721299262,1.2067530443476446,-2.8309535896621854,1.5659445993097258,0.24925392539307692,1.8533265564585435,-0.3146974801880877,-0.6012443339906323,-0.8075456104211188,0.2774769704352253,0.3541931154050805,-1.4836847454784465,-0.06517415435536894,0.3274865451218346,0.26920143868321816,-0.7074449278309859,0.5147121512033715,0.05544021314513831,-0.4769769060147494
-0.9482432543703906,1.035061780798262,0.36666435285056465,-1.6319104677900167,-0.656994137654984,-0.5431915549417085,0.13659018200278447,0.03135229602658,1.0403088440955117,-0.8792186851017343,0.07444246494181041,-0.589612073652403,0.7371543962963624,0.9405534755544147,0.7658568109688075,-0.6353302281607038,0.3961547814305712,-0.1251399268954977,0.5408747507854937
-0.7922219058135844,0.40227885468896407,0.43937823378529894,-1.6239676466388,-0.3577112621797804,-1.0104993541767475,-1.430931116374074,0.30485672384926604,0.8590079172139096,-0.027024573293147572,-0.3690325176808565,-0.9146871979925302,0.26283710693546924,-0.08755369425454852,-0.11272045068206862,0.32948374745259706,-0.07758464972452217,0.20863818613266272,0.7012080508090056
1.380369075817704,-1.1974266994584848,0.18526637415938704,0.01658861618280623,-1.1490332297859234,-0.23076829854202757,-0.16150183868321305,-0.12436809804103005,-1.0011452071764946,0.7116977972444564,-0.7760567557524971,-0.11009378815679831,0.24388235902130578,0.5935787746046782,-0.046281887037352795,-0.6400709837616206,-0.2141201948184888,-0.11902295105800774,0.2564257111917779
0.21394807573994795,-1.3742491312683833,0.9119398786425008,0.5433702116070278,-0.7117317022942156,-0.09390804374303965,0.9565376080769705,0.3332076052569569,0.32349569183438626,-0.8483658011985467,0.5802977922974232,2.161106827833474,-0.24551232225395256,0.05009980711721259,-0.6127406290492515,0.37447155661930015,0.23103303204195838,-0.013402533553224844,-0.09555212945966009
0.6569690343988401,-1.5688627279421126,0.6954786821904282,0.9982089611164887,-0.06590688686772979,-1.1224582923085458,-0.640644610256166,0.5499089210400973,0.8737489092727821,-0.850921614180125,0.10583381947531628,0.2278840128076413,0.09548354703351562,1.3056201014427538,-0.07241247646885814,-0.21214242650635498,0.0878749043084765,-0.1224365443386234,0.1122397437367982
-0.780205090151011,0.4797229159307257,0.3563479109766126,-1.031973066663504,0.1597991049777196,-0.08121647234383209,0.2577287902670807,-0.35352043179202786,1.407704874697384,-0.5012645306006979,0.48237086458279516,-0.26097147128578474,0.9467271943319504,-2.2856931635588347,-0.249993651765661,0.4653630568044716,-0.09674241882626541,0.2206529648513796,-0.012055946231818458
-0.676458340568885,-0.6719277780150428,0.34150507790108076,-0.16797274146702543,-0.7540525835407486,0.8426310233321751,0.34258704671615686,-1.0113873731664014,-2.0095043383555367,0.47309086229810604,-0.25387705199996574,-1.0035060424209934,-0.6514843642517013,-0.26209355642065413,-0.8816789547051813,0.5535566176421934,-0.4219644336396108,-0.06660071993613433,0.35826328279703606
-0.2900609705265136,-0.9666464960537946,0.22370213367105612,0.7046593994343888,-0.8126164386323198,-0.5406798705252888,-0.5236963102250689,0.21071777163951538,-0.6300746189988506,0.0019798077911736185,-0.459139313153508,0.039444841272059064,-0.6886533009352491,1.29730429555669,-0.32578735053101393,0.41895503998062555,-0.19959030143435036,-0.00985601271444485,-0.4157855211066707
0.09680994869055645,-1.1922948520240733,-0.20858345816023408,2.5775205874569163,1.0172479264244871,-0.8637312658915143,1.065678628604114,-0.2256123620329642,0.08752081926554886,-0.3557512982669493,-0.41481208954404536,0.07143643678812409,0.21346824521237814,0.3828386827351291,0.7343870287949356,-0.11732577689943198,-0.16138076016658615,-0.1053675174812108,-0.08471962947128284
1.0196626828947044,-1.255878497235474,0.4737536965407118,0.7200533186968855,-0.5678439860653567,-0.22866389835508683,1.3336291538341467,-0.8509006689699136,-0.4635872736096136,-0.12904063149577177,-0.2937616731661816,-0.13471378174589133,0.591361819450958,-0.55831160681399,-0.17461001569926626,-0.2920072035172041,0.19190170099446105,0.11994638836108197,0.1339512305832962
1.1095799719708872,-0.6662291105467061,0.3750784776871794,-1.1358111267195672,0.1539929482518345,-1.0257197765797643,0.037570783342631274,0.09394995526079356,-0.6243818770753127,0.8072111839422998,-0.9553737445776607,0.6002449974926376,0.21198411478308968,-0.34216165816472843,-0.15571979180626289,-0.31148803297428385,-0.47275456732442517,0.055837425030790616,0.9729525172177717
0.2480889680009597,-1.8399633993244107,1.0975214368129935,-0.011620352618268942,-1.1246427670565555,0.7805495256179775,-1.1877805166875606,-0.09326128178760673,-0.57367527025884,-0.06333205577255129,0.4173071436400973,-0.42460956646025305,-0.5981386443225026,0.051163441256119546,-1.0058718104227933,0.412672546506185,-0.3980598508263242,-0.11555236165572515,0.6884613974257764
